YEAR,MO,DY,T2M
2019,5,14,15.54
2019,5,15,11.28
2019,5,16,9.65
2019,5,17,11.81
2019,5,18,13.52
2019,5,19,15.32
2019,5,20,16.6
2019,5,21,17.1
2019,5,22,17.08
2019,5,23,15.42
2019,5,24,11.9
2019,5,25,13.77
2019,5,26,12.55
2019,5,27,13.78
2019,5,28,17.76
2019,5,29,19.85
2019,5,30,14.26
2019,5,31,14.3
2019,6,1,14.94
2019,6,2,15.55
2019,6,3,14.41
2019,6,4,15.29
2019,6,5,18.47
2019,6,6,21.31
2019,6,7,20.65
2019,6,8,21.8
2019,6,9,20.68
2019,6,10,18.1
2019,6,11,18.45
2019,6,12,15.58
2019,6,13,13.75
2019,6,14,17.95
2019,6,15,16.98
2019,6,16,16.41
2019,6,17,18.95
2019,6,18,18.38
2019,6,19,19.48
2019,6,20,20.3
2019,6,21,19.92
2019,6,22,19.8
2019,6,23,16.0
2019,6,24,16.08
2019,6,25,15.93
2019,6,26,15.27
2019,6,27,13.26
2019,6,28,12.32
2019,6,29,12.37
2019,6,30,13.94
2019,7,1,18.52
2019,7,2,15.9
2019,7,3,12.8
2019,7,4,10.62
2019,7,5,11.29
2019,7,6,10.07
2019,7,7,12.37
2019,7,8,12.65
2019,7,9,13.22
2019,7,10,12.69
2019,7,11,10.55
2019,7,12,10.79
2019,7,13,12.31
2019,7,14,13.67
2019,7,15,16.67
2019,7,16,14.71
2019,7,17,15.51
2019,7,18,15.87
2019,7,19,15.94
2019,7,20,15.04
2019,7,21,17.1
2019,7,22,19.08
2019,7,23,17.49
2019,7,24,17.43
2019,7,25,16.57
2019,7,26,20.25
2019,7,27,21.44
2019,7,28,20.23
2019,7,29,12.04
2019,7,30,11.08
2019,7,31,9.62
2019,8,1,11.15
2019,8,2,12.17
2019,8,3,10.73
2019,8,4,8.97
2019,8,5,10.0
2019,8,6,13.41
2019,8,7,15.83
2019,8,8,16.94
2019,8,9,14.44
2019,8,10,14.52
2019,8,11,14.71
2019,8,12,16.4
2019,8,13,15.9
2019,8,14,17.61
2019,8,15,14.23
2019,8,16,14.18
2019,8,17,15.24
2019,8,18,14.08
2019,8,19,17.3
2019,8,20,17.9
2019,8,21,18.9
2019,8,22,15.99
2019,8,23,14.76
2019,8,24,15.31
